start_date,end_date,name,location
2022-09-19,2022-09-22,NVIDIA GTC,Digital Event
2022-09-19,2022-09-28,NASA GPU Hackathon 2022,Digital
2022-09-19,2022-09-29,CSCS GPU Hackathon 2022,Digital
2022-09-18,2022-09-23,RecSys 2022,Seattle WA
2022-09-18,2022-09-22,MICCAI 2022,Singapore
2022-09-12,2022-09-13,NCC Portugal AI for Science Bootcamp,Digital
2022-09-07,2022-09-09,NCI Pawsey and NeSI OpenACC GPU Bootcamp,Digital
2022-08-29,2022-09-01,VM Explore 2022,San Francisco CA
2022-08-29,2022-09-01,Monterey Data Conference,Monterey CA
2022-08-25,2022-08-26,NERSC AI for Science Bootcamp,Digital
2022-08-23,2022-08-25,OpenACC and Hackathons Asia-Pacific Summit,Digital
2022-08-21,2022-08-23,Hot Chips (HC34) 2022,Digital
2022-08-17,2022-08-18,NCI and NSCC OpenACC GPU Bootcamp,Digital
2022-08-15,2022-08-24,BNL GPU Hackathon 2022,Digital
2022-08-08,2022-08-11,SIGGRAPH 2022,Vancouver Canada
2022-08-02,2022-08-04,NSM India Weather and Climate GPU Bootcamp,Digital
2022-08-02,2022-08-04,OpenACC and Hackathons Summit 2022,Digital
2022-07-25,2022-07-26,UM6P AI for Science Bootcamp,Digital
2022-07-20,2022-07-29,SKA-SRC GPU Hackathon 2022,Digital
2022-07-19,2022-07-28,Argonne GPU Hackathon 2022,Digital
2022-07-19,2022-07-20,Microsoft Inspire 2022,Digital
2022-07-18,2022-07-22,KISTI GPU Hackathon 2022,Hybrid Event
2022-07-13,2022-07-14,Q2B 2022,Tokyo Japan
2022-07-11,2022-07-12,CIAIRI AI for Science Bootcamp,Digital
2022-07-06,2022-07-07,NASA N-Ways to GPU Programming Bootcamp,Digital
2022-07-04,2022-07-05,STFC-Hartree Centre N-Ways to GPU Programming Bootcamp,Digital
2022-06-29,2022-06-30,PINN with NVIDIA Modulus Bootcamp,Hybrid Event
2022-06-28,2022-06-30,HPE Discover 2022,Las Vegas NV
2022-06-22,2022-07-06,Emerging Markets Startup Booster Camp,Digital
2022-06-21,2022-06-24,Amazon re:Mars 2022,Las Vegas NV
2022-06-19,2022-06-24,CVPR,New Orleans LA
2022-06-19,2022-06-28,Argonne GPU Hackathon 2022,Digital
2022-06-06,2022-06-08,Pure//Accelerate Techfest 22,Digital
2022-06-06,2022-06-09,Automate,Detroit MI
2022-05-29,2022-06-02,ISC High Performance 2022,Messe Hamburg Germany
2022-05-24,2022-05-27,Computex 2022,Taipei Taiwan
2022-05-24,2022-05-26,Microsoft Build 2022,Digital
2022-05-23,2022-05-27,ICRA 2022,Philadelphia PA
2022-05-23,2022-05-25,DISTRIBUTECH 2022,Dallas TX
2022-05-21,2022-05-24,National Restaurant Association Show 2022,Chicago IL
2022-05-19,,STAC Spring London 2022,London England
2022-05-17,2022-05-18,MATLAB EXPO,Digital
2022-05-17,2022-05-19,Embedded Vision Summit 2022,Santa Clara CA
2022-05-10,2022-05-11,Red Hat Summit 2022,Digital and Boston MA
2022-05-10,2022-05-11,Robotics Summit & Expo 2022,Boston MA
2022-05-05,,Quant Strats,New York NY
2022-05-03,2022-05-05,Bio-IT World 2022,Boston MA
2022-05-02,2022-05-05,Dell Technologies World 2022,Las Vegas NV
2022-04-26,2022-04-28,SmartNICs Summit 2022,San Jose CA
2022-04-25,2022-04-29,ICLR 2022,Digital
2022-04-23,2022-04-27,NAB 2022,Las Vegas NV
2022-04-21,2022-04-22,AI in Finance Summit 2022 New York,New York NY
